timestamp,ADAUSDT:strategy_1,ADAUSDT:strategy_2,ADAUSDT:strategy_3,BNBUSDT:strategy_4,BTCUSDT:strategy_5,BTCUSDT:strategy_6,ETHUSDT:strategy_7,ETHUSDT:strategy_8,ETHUSDT:strategy_9,ETHUSDT:strategy_10,ETHUSDT:strategy_11,ETHUSDT:strategy_12,ETHUSDT:strategy_13,TRXUSDT:strategy_14,VETUSDT:strategy_15,XLMUSDT:strategy_16
2020-07-02T14:00:00.000000000,-0.00018257,0,-0.000206195,0,-0.000331962,0,0,0,0,0.000136452,0,0.000136461,0,-0.000151707,0,-0.000113647
2020-07-02T15:00:00.000000000,-0.000603999,0,-0.000682194,0,-0.000934587,0,0,0,0,0.000340174,0,0.000340197,0,-0.000401687,0,-0.000212342
2020-07-02T16:00:00.000000000,-7.03728E-05,0,-7.94868E-05,0,-4.43854E-05,0,-9.21126E-05,0,0,-7.71638E-05,0,-7.7169E-05,0,-1.03996E-05,0,-3.70777E-05
2020-07-02T17:00:00.000000000,0.000286845,0,0.00032399,0,-9.35739E-05,0,1.46714E-05,0,0,1.39903E-05,0,1.39913E-05,0,-9.38102E-05,0,4.87196E-05
2020-07-02T18:00:00.000000000,-1.92273E-05,0,-2.17167E-05,0,9.79E-07,0,-4.21807E-05,0,0,-4.02228E-05,0,-4.02255E-05,0,-2.22075E-05,0,-2.24857E-05
2020-07-02T19:00:00.000000000,-3.52509E-05,0,-3.98152E-05,0,4.66603E-05,0,4.67655E-05,0,0,4.45947E-05,0,4.45977E-05,0,8.14252E-05,0,-4.62222E-05
2020-07-02T20:00:00.000000000,0.000214691,0,0.000242486,0,-9.51535E-05,0,-5.41014E-05,0,0,-5.15901E-05,0,-5.15936E-05,0,-7.40226E-05,0,3.74776E-05
2020-07-02T21:00:00.000000000,0.000211442,0,0.00023881,0,-0.000208859,0,-9.99578E-05,0,0,-9.53176E-05,0,-9.5324E-05,0,-5.9222E-05,0,1.24922E-05
2020-07-02T22:00:00.000000000,-0.000171392,0,-0.000193576,0,0.000113866,0,4.86046E-05,0,0,4.63482E-05,0,4.63513E-05,0,5.18195E-05,0,-4.6222E-05
2020-07-02T23:00:00.000000000,-0.000112142,0,-0.000126659,0,5.65025E-05,0,3.75982E-05,0,0,3.58528E-05,0,3.58552E-05,0,-2.2208E-05,0,-2.50E-06
2020-07-03T00:00:00.000000000,9.30319E-05,0,0.000105075,0,-5.16852E-05,0,1.35124E-05,0,0,1.28852E-05,0,1.28861E-05,0,-1.23E-06,0,-4.7069E-05
2020-07-03T01:00:00.000000000,4.96597E-05,0,5.60879E-05,0,-4.32198E-05,0,-0.000110046,0,0,-0.000104937,0,-0.000104944,0,-7.40304E-05,0,8.49511E-05
2020-07-03T02:00:00.000000000,-0.000140976,0,-0.000159225,0,4.82868E-05,0,8.34526E-05,0,0,7.95785E-05,0,7.95838E-05,0,6.66276E-05,0,-7.49565E-05
2020-07-03T03:00:00.000000000,-1.2817E-05,0,-1.44763E-05,0,1.59248E-05,0,2.75103E-05,0,0,2.62333E-05,0,2.6235E-05,0,-3.70148E-05,0,-7.50E-06
2020-07-03T04:00:00.000000000,3.36442E-05,0,3.79998E-05,0,-1.00913E-05,0,-3.39295E-05,0,0,-3.23545E-05,0,-3.23567E-05,0,3.70148E-05,0,-2.74857E-05
2020-07-03T05:00:00.000000000,7.36929E-05,0,8.32327E-05,0,-6.11037E-05,0,-4.95208E-05,0,0,-4.72219E-05,0,-4.72251E-05,0,-4.44179E-05,0,1.25E-06
2020-07-03T06:00:00.000000000,-8.01013E-05,0,-9.04706E-05,0,5.90173E-05,0,4.40186E-05,0,0,4.19751E-05,0,4.1978E-05,0,-7.40E-06,0,-1.87406E-05
2020-07-03T07:00:00.000000000,0.000193834,0,0.000218925,0,-3.98129E-05,0,-4.58528E-05,0,0,2.75755E-05,0,-4.37271E-05,0,-8.14385E-05,0,3.99796E-05
2020-07-03T08:00:00.000000000,3.30E-06,0,3.72E-06,0,1.33683E-05,0,6.67E-07,0,0,-4.86E-06,0,6.36E-07,0,-2.34533E-05,0,2.41468E-05
2020-07-03T09:00:00.000000000,-9.93149E-05,0,-0.00011217,0,9.89957E-05,0,7.24463E-05,0,0,-7.28384E-05,0,6.90879E-05,0,9.62471E-05,0,-8.99541E-05
2020-07-03T10:00:00.000000000,3.364E-05,0,3.79945E-05,0,5.19E-06,0,-7.34E-06,0,0,7.38E-06,0,-7.00E-06,0,-2.221E-05,0,2.49881E-05
2020-07-03T11:00:00.000000000,0.000108922,0,0.00012302,0,-8.71578E-05,0,-6.14419E-05,0,0,6.17742E-05,0,-5.85936E-05,0,-6.66331E-05,0,1.37432E-05
2020-07-03T12:00:00.000000000,8.32852E-05,0,9.40637E-05,0,-4.67541E-05,0,-1.55903E-05,0,0,1.56735E-05,0,-1.48676E-05,0,7.40E-06,0,-1.24938E-05
2020-07-03T13:00:00.000000000,0.000473953,0,0.000535271,0,8.40536E-05,0,1.92586E-05,0,0,-1.93614E-05,0,-8.25648E-05,0,-3.702E-05,0,0.00010994
2020-07-03T14:00:00.000000000,3.0415E-05,0,3.43488E-05,0,6.86E-06,0,2.75117E-05,0,0,-2.76597E-05,0,0,0,7.40387E-05,0,-4.99712E-05
2020-07-03T15:00:00.000000000,0.000206477,0,0.000233179,0,-5.85894E-05,0,-1.10046E-05,0,0,1.1064E-05,0,0,0,-3.70187E-05,0,4.37249E-05
2020-07-03T16:00:00.000000000,0.00016964,0,0.000191573,0,4.34739E-05,0,1.44259E-05,0,0,-1.86882E-05,0,0,0,-8.65E-06,0,3.16342E-05
